,rig,prod,cons,netbal,nat_gas,twd,ip
2001-01-31,879.0,1671.928,2677.0,-1005.0719999999999,8.17,122.8014,93.5736
2001-02-28,898.0,1509.163,2309.0,-799.837,5.61,123.527,93.7067
2001-03-31,913.0,1684.817,2247.0,-562.183,5.23,125.541,94.6384
2001-04-30,957.0,1624.316,1807.0,-182.68399999999997,5.19,126.5078,91.437
2001-05-31,997.0,1681.372,1522.0,159.37200000000007,4.19,126.3892,92.2205
2001-06-30,1050.0,1607.397,1444.0,163.39699999999993,3.72,127.2166,94.4417
2001-07-31,1058.0,1656.62,1598.0,58.61999999999989,3.11,127.6331,90.0001
2001-08-31,1032.0,1656.714,1669.0,-12.286000000000058,2.97,125.5447,93.5599
2001-09-30,972.0,1610.366,1494.0,116.36599999999999,2.19,125.8856,92.7637
2001-10-31,913.0,1675.894,1649.0,26.894000000000005,2.46,126.7251,91.6506
2001-11-30,825.0,1593.864,1701.0,-107.13599999999997,2.34,127.2625,90.0664
2001-12-31,754.0,1643.859,2120.0,-476.1410000000001,2.3,127.3803,89.6331
2002-01-31,725.0,1618.892,2488.0,-869.108,2.32,128.8873,90.0874
2002-02-28,679.0,1449.623,2242.0,-792.377,2.32,129.629,90.751
2002-03-31,617.0,1619.57,2258.0,-638.4300000000001,3.03,128.9042,92.2845
2002-04-30,612.0,1565.063,1881.0,-315.9369999999999,3.43,128.5311,91.3367
2002-05-31,690.0,1628.885,1611.0,17.88499999999999,3.5,126.9477,91.8485
2002-06-30,704.0,1569.228,1591.0,-21.771999999999935,3.26,125.5267,95.6268
2002-07-31,716.0,1636.448,1748.0,-111.55199999999991,2.99,123.7952,90.9356
2002-08-31,721.0,1603.278,1726.0,-122.72199999999998,3.09,125.1862,95.1608
2002-09-30,736.0,1516.304,1542.0,-25.695999999999913,3.55,126.054,95.0357
2002-10-31,709.0,1551.787,1646.0,-94.21299999999997,4.13,127.0304,93.8377
2002-11-30,683.0,1555.595,1914.0,-358.405,4.04,125.7215,92.8176
2002-12-31,714.0,1613.115,2379.0,-765.885,4.74,125.0504,91.9986
2003-01-31,718.0,1616.551,2701.0,-1084.449,5.43,123.5491,92.557
2003-02-28,750.0,1469.711,2500.0,-1030.289,7.71,123.3924,93.7069
2003-03-31,767.0,1662.98,2198.0,-535.02,5.93,122.911,94.4501
2003-04-30,795.0,1592.31,1744.0,-151.69000000000005,5.26,121.9377,91.7911
2003-05-31,864.0,1625.9,1515.0,110.90000000000009,5.81,117.9351,92.4059
2003-06-30,910.0,1574.488,1368.0,206.48800000000006,5.82,117.332,95.2992
2003-07-31,924.0,1594.08,1600.0,-5.920000000000073,5.03,118.4831,91.139
2003-08-31,932.0,1626.469,1652.0,-25.53099999999995,4.99,119.846,95.5608
2003-09-30,936.0,1566.968,1429.0,137.96800000000007,4.62,118.5809,95.7947
2003-10-31,941.0,1620.293,1553.0,67.29299999999989,4.63,116.1477,94.8833
2003-11-30,952.0,1549.049,1754.0,-204.95100000000002,4.47,116.0244,94.471
2003-12-31,959.0,1599.746,2264.0,-664.2539999999999,6.13,114.4476,93.9614
2004-01-31,955.0,1594.905,2676.0,-1081.095,6.14,112.6266,93.7934
2004-02-29,961.0,1477.801,2511.0,-1033.199,5.37,113.0656,95.5767
2004-03-31,968.0,1605.17,2101.0,-495.8299999999999,5.39,114.2132,95.9576
2004-04-30,996.0,1551.873,1745.0,-193.12699999999995,5.71,115.0219,94.1721
2004-05-31,1007.0,1575.675,1573.0,2.6749999999999545,6.33,116.836,95.6757
2004-06-30,1011.0,1542.23,1484.0,58.23000000000002,6.27,115.7807,97.8956
2004-07-31,1041.0,1589.277,1585.0,4.277000000000044,5.93,114.9643,94.7623
2004-08-31,1063.0,1575.564,1578.0,-2.435999999999922,5.41,115.1378,98.3543
2004-09-30,1073.0,1476.771,1482.0,-5.229000000000042,5.15,114.6994,97.7488
2004-10-31,1068.0,1543.492,1557.0,-13.508000000000038,6.35,113.068,97.9479
2004-11-30,1077.0,1508.532,1783.0,-274.4680000000001,6.17,110.1684,96.9903
2004-12-31,1064.0,1549.599,2328.0,-778.4010000000001,6.58,108.9647,97.3593
2005-01-31,1075.0,1557.077,2562.0,-1004.923,6.15,109.5329,97.6114
2005-02-28,1083.0,1428.897,2243.0,-814.1030000000001,6.14,109.7344,98.795
2005-03-31,1118.0,1609.208,2206.0,-596.7919999999999,6.96,109.151,99.353
2005-04-30,1163.0,1539.843,1725.0,-185.15699999999993,7.16,110.0722,98.5545
2005-05-31,1170.0,1575.574,1523.0,52.57400000000007,6.47,110.5681,98.8702
2005-06-30,1208.0,1537.105,1534.0,3.105000000000018,7.18,111.63,102.2786
2005-07-31,1226.0,1552.062,1687.0,-134.9380000000001,7.63,112.0936,98.4791
2005-08-31,1227.0,1544.42,1695.0,-150.57999999999993,9.53,110.6334,102.0851
2005-09-30,1236.0,1336.065,1422.0,-85.93499999999995,11.75,110.5043,99.6311
2005-10-31,1256.0,1407.287,1428.0,-20.712999999999965,13.42,111.559,99.7231
2005-11-30,1228.0,1444.276,1663.0,-218.72399999999993,10.3,112.3543,99.4912
2005-12-31,1220.0,1518.785,2326.0,-807.2149999999999,13.05,111.6423,100.0282
2006-01-31,1228.0,1535.797,2165.0,-629.203,8.69,110.189,99.3667
2006-02-28,1321.0,1383.249,2144.0,-760.751,7.54,110.3688,100.1564
2006-03-31,1305.0,1555.228,2126.0,-570.7719999999999,6.89,110.5273,101.5349
2006-04-30,1337.0,1497.231,1681.0,-183.769,7.16,109.7562,99.5564
2006-05-31,1373.0,1555.948,1526.0,29.948000000000093,6.25,107.536,101.0114
2006-06-30,1376.0,1538.715,1551.0,-12.285000000000082,6.21,108.788,104.4874
2006-07-31,1379.0,1573.274,1759.0,-185.7260000000001,6.17,108.4967,101.329
2006-08-31,1417.0,1578.728,1752.0,-173.27199999999993,7.14,107.7999,104.8101
2006-09-30,1429.0,1541.937,1462.0,79.9369999999999,4.9,108.0455,103.7817
2006-10-31,1441.0,1597.178,1644.0,-46.82199999999989,5.85,108.3501,102.49
2006-11-30,1414.0,1539.917,1765.0,-225.08300000000008,7.41,107.4511,101.2664
2006-12-31,1431.0,1606.404,2123.0,-516.596,6.73,106.6484,102.2975
2007-01-31,1440.0,1576.351,2476.0,-899.6489999999999,6.55,107.6233,101.1173
2007-02-28,1466.0,1443.745,2567.0,-1123.255,8.0,107.2655,102.674
2007-03-31,1461.0,1624.634,2129.0,-504.366,7.11,106.74,103.8867
2007-04-30,1461.0,1551.743,1810.0,-258.25700000000006,7.6,105.3945,102.8742
2007-05-31,1464.0,1643.202,1559.0,84.202,7.64,104.4918,103.9152
2007-06-30,1483.0,1589.702,1555.0,34.702,7.35,104.2399,107.0508
2007-07-31,1486.0,1624.779,1660.0,-35.221000000000004,6.22,102.9291,103.7117
2007-08-31,1492.0,1633.875,1896.0,-262.125,6.22,103.479,107.1894
2007-09-30,1475.0,1597.6,1590.0,7.599999999999909,6.08,102.1061,106.7355
2007-10-31,1435.0,1653.527,1628.0,25.527000000000044,6.74,100.0435,104.9849
2007-11-30,1451.0,1633.438,1835.0,-201.5619999999999,7.1,98.5975,104.4945
2007-12-31,1468.0,1693.431,2399.0,-705.569,7.11,99.4455,104.5498
2008-01-31,1421.0,1685.717,2734.0,-1048.283,7.99,98.6439,103.7665
2008-02-29,1426.0,1590.851,2503.0,-912.1489999999999,8.54,97.7993,103.6142
2008-03-31,1444.0,1722.591,2278.0,-555.4090000000001,9.41,95.8676,104.029
2008-04-30,1461.0,1661.637,1824.0,-162.36300000000006,10.18,95.4953,102.5287
2008-05-31,1478.0,1716.72,1576.0,140.72000000000003,11.27,95.824,102.2461
2008-06-30,1510.0,1681.469,1604.0,77.46900000000005,12.69,96.0296,105.0136
2008-07-31,1543.0,1769.052,1709.0,60.05199999999991,11.09,95.3457,102.1167
2008-08-31,1581.0,1743.909,1683.0,60.909000000000106,8.26,97.8354,102.8991
2008-09-30,1585.0,1488.62,1461.0,27.61999999999989,7.67,100.1879,97.7786
2008-10-31,1542.0,1675.027,1636.0,39.027000000000044,6.74,106.8821,97.3488
2008-11-30,1498.0,1678.551,1869.0,-190.44900000000007,6.68,109.5224,95.2862
2008-12-31,1380.0,1744.458,2400.0,-655.5419999999999,5.82,108.3502,93.1798
2009-01-31,1215.0,1781.981,2730.0,-948.019,5.24,109.0218,90.5347
2009-02-28,1037.0,1624.266,2333.0,-708.7339999999999,4.52,111.7694,89.7648
2009-03-31,867.0,1786.352,2171.0,-384.6479999999999,3.96,112.2552,88.8225
2009-04-30,775.0,1698.876,1741.0,-42.124000000000024,3.5,109.4737,86.3527
2009-05-31,723.0,1756.127,1504.0,252.12699999999995,3.83,106.3305,86.57
2009-06-30,691.0,1707.221,1528.0,179.221,3.8,104.9721,88.8461
2009-07-31,675.0,1741.332,1658.0,83.33200000000011,3.38,104.5785,88.1486
2009-08-31,691.0,1755.132,1736.0,19.132000000000062,3.14,103.3293,91.2517
2009-09-30,704.0,1651.952,1575.0,76.952,2.99,102.5523,90.5106
2009-10-31,722.0,1729.056,1667.0,62.05600000000004,4.01,101.092,89.9968
2009-11-30,734.0,1674.378,1776.0,-101.62200000000007,3.66,100.6128,89.6819
2009-12-31,758.0,1717.182,2492.0,-774.818,5.35,101.0603,90.4854
2010-01-31,822.0,1737.233,2810.0,-1072.767,5.83,101.3382,91.393
2010-02-28,892.0,1602.69,2481.0,-878.31,5.32,102.8527,91.4638
2010-03-31,933.0,1775.686,2143.0,-367.3140000000001,4.29,101.9729,92.6395
2010-04-30,959.0,1726.918,1692.0,34.91799999999989,4.03,101.4655,91.5215
2010-05-31,960.0,1796.596,1617.0,179.596,4.14,104.2738,93.3754
2010-06-30,953.0,1716.613,1650.0,66.61300000000006,4.8,104.8423,96.3027
2010-07-31,971.0,1805.745,1826.0,-20.25500000000011,4.63,103.21,94.5846
2010-08-31,983.0,1826.614,1879.0,-52.38599999999997,4.32,102.4087,97.2557
2010-09-30,977.0,1772.37,1637.0,135.3699999999999,3.89,101.4099,96.163
2010-10-31,966.0,1862.916,1665.0,197.91599999999994,3.43,98.7767,95.0411
2010-11-30,950.0,1802.484,1973.0,-170.51600000000008,3.71,99.058,94.1621
2010-12-31,940.0,1889.64,2714.0,-824.3599999999999,4.25,99.7144,95.69
2011-01-31,909.0,1860.566,2889.0,-1028.434,4.49,98.5621,95.5776
2011-02-28,907.0,1647.326,2452.0,-804.674,4.09,97.8112,94.7287
2011-03-31,884.0,1907.851,2230.0,-322.1489999999999,3.97,96.8759,96.4198
2011-04-30,885.0,1868.299,1825.0,43.29899999999998,4.24,95.2715,94.5356
2011-05-31,878.0,1934.85,1667.0,267.8499999999999,4.31,95.2338,95.302
2011-06-30,877.0,1862.207,1657.0,205.2070000000001,4.54,95.2086,98.2874
2011-07-31,880.0,1936.85,1891.0,45.84999999999991,4.42,94.5563,97.1574
2011-08-31,894.0,1959.548,1892.0,67.548,4.06,95.0954,99.6828
2011-09-30,907.0,1893.345,1656.0,237.34500000000003,3.9,97.9361,98.5865
2011-10-31,933.0,2018.734,1744.0,274.7339999999999,3.57,98.8396,98.2235
2011-11-30,880.0,1978.161,2032.0,-53.83899999999994,3.24,99.4731,97.5557
2011-12-31,821.0,2034.141,2542.0,-507.8589999999999,3.17,100.4097,98.5894
2012-01-31,790.0,2046.268,2756.0,-709.732,2.67,99.7874,98.914
2012-02-29,723.0,1876.815,2501.0,-624.185,2.51,98.0571,99.1116
2012-03-31,667.0,2013.944,2128.0,-114.05600000000004,2.17,98.6518,99.2133
2012-04-30,629.0,1943.437,1953.0,-9.563000000000102,1.95,98.9698,98.3443
2012-05-31,600.0,2016.486,1874.0,142.4860000000001,2.43,100.6915,99.15
2012-06-30,558.0,1939.055,1868.0,71.05500000000006,2.46,102.1321,101.7415
2012-07-31,522.0,2055.476,2070.0,-14.523999999999887,2.95,101.6519,100.2154
2012-08-31,487.0,2045.359,2009.0,36.358999999999924,2.84,100.7702,101.939
2012-09-30,447.0,1990.747,1807.0,183.74700000000007,2.85,99.1935,100.8946
2012-10-31,425.0,2061.55,1901.0,160.55000000000018,3.32,98.9141,100.0023
2012-11-30,421.0,1997.917,2168.0,-170.08300000000008,3.54,99.5449,99.956
2012-12-31,423.0,2046.213,2504.0,-457.78700000000003,3.34,98.97,100.518
2013-01-31,434.0,2023.011,2879.0,-855.989,3.33,98.8842,100.5587
2013-02-28,426.0,1832.561,2567.0,-734.4390000000001,3.33,99.6899,100.8081
2013-03-31,413.0,2023.443,2521.0,-497.557,3.81,100.5577,101.4612
2013-04-30,374.0,1983.451,1967.0,16.451000000000022,4.17,100.1968,100.5394
2013-05-31,353.0,2042.563,1752.0,290.5630000000001,4.04,100.6287,100.7254
2013-06-30,352.0,1973.764,1743.0,230.7639999999999,3.83,101.4398,103.4433
2013-07-31,364.0,2079.83,1926.0,153.82999999999993,3.62,101.9944,101.5054
2013-08-31,386.0,2075.354,1927.0,148.35399999999981,3.43,101.8753,104.2638
2013-09-30,389.0,2003.186,1767.0,236.18599999999992,3.62,101.6626,103.6457
2013-10-31,374.0,2076.228,1867.0,209.22800000000007,3.68,100.6423,102.5151
2013-11-30,366.0,2029.834,2317.0,-287.16599999999994,3.64,101.5343,102.3035
2013-12-31,373.0,2062.296,2921.0,-858.7040000000002,4.24,101.7194,102.6288
2014-01-31,362.0,2070.203,3204.0,-1133.797,4.71,102.662,102.4462
2014-02-28,341.0,1914.141,2741.0,-826.8589999999999,6.0,102.9122,103.1104
2014-03-31,333.0,2134.549,2558.0,-423.451,4.9,102.8284,104.5884
2014-04-30,316.0,2116.226,1962.0,154.2260000000001,4.66,102.4407,103.3023
2014-05-31,325.0,2174.959,1810.0,364.95899999999983,4.58,102.1166,104.0182
2014-06-30,314.0,2115.666,1745.0,370.66600000000017,4.59,102.2669,106.9714
2014-07-31,314.0,2232.675,1881.0,351.6750000000002,4.05,102.0245,105.1845
2014-08-31,324.0,2244.834,1933.0,311.83399999999983,3.91,102.9393,107.6958
2014-09-30,336.0,2171.651,1809.0,362.65099999999984,3.92,104.4888,106.8702
2014-10-31,328.0,2266.298,1913.0,353.2979999999998,3.78,105.834,105.8188
2014-11-30,351.0,2179.157,2358.0,-178.84299999999985,4.12,107.625,106.0474
2014-12-31,342.0,2269.247,2679.0,-409.75300000000016,3.48,110.2233,105.8634
2015-01-31,320.0,2276.791,3115.0,-838.2089999999998,2.99,112.606,105.3393
2015-02-28,296.0,2066.675,2925.0,-858.3249999999998,2.87,114.0559,105.0657
2015-03-31,250.0,2298.208,2591.0,-292.7919999999999,2.83,116.1399,105.0774
2015-04-30,222.0,2256.179,2008.0,248.1790000000001,2.61,114.9663,102.8356
2015-05-31,223.0,2297.826,1858.0,439.826,2.85,114.0835,103.0415
2015-06-30,224.0,2218.529,1900.0,318.529,2.78,114.9626,105.556
2015-07-31,216.0,2299.745,2068.0,231.7449999999999,2.84,116.9497,104.29
2015-08-31,209.0,2302.361,2053.0,249.36099999999988,2.77,119.1336,106.6007
2015-09-30,198.0,2242.155,1901.0,341.1550000000002,2.66,120.0397,104.4052
2015-10-31,193.0,2300.017,1987.0,313.0169999999998,2.34,118.9931,103.4094
2015-11-30,194.0,2216.479,2249.0,-32.521000000000186,2.09,120.7999,102.1263
2015-12-31,174.0,2290.495,2588.0,-297.5050000000001,1.93,122.0258,101.4152
2016-01-31,133.0,2287.069,3092.0,-804.931,2.28,124.6858,102.5003
2016-02-29,102.0,2166.988,2651.0,-484.01200000000017,1.99,123.6571,101.8312
2016-03-31,93.0,2292.503,2357.0,-64.49699999999984,1.73,121.1441,100.9522
2016-04-30,88.0,2215.366,2089.0,126.36599999999999,1.92,119.1919,100.451
2016-05-31,86.0,2278.234,1971.0,307.2339999999999,1.92,120.4566,100.4296
2016-06-30,86.0,2174.694,2005.0,169.69399999999996,2.59,120.8963,103.7647
2016-07-31,88.0,2266.293,2193.0,73.29300000000012,2.82,121.7256,102.0635
2016-08-31,82.0,2242.349,2216.0,26.34900000000016,2.82,120.5967,104.3963
2016-09-30,91.0,2156.714,1951.0,205.71399999999994,2.99,121.5386,102.9128
2016-10-31,105.0,2214.067,1926.0,288.067,2.98,122.6694,102.2558
2016-11-30,117.0,2162.4,2164.0,-1.599999999999909,2.55,125.5811,101.213
2016-12-31,126.0,2206.096,2867.0,-660.904,3.59,127.5567,102.2539
2017-01-31,140.0,2189.377,2899.0,-709.623,3.3,127.3877,102.0704
2017-02-28,150.0,2003.301,2328.0,-324.69900000000007,2.85,125.5928,101.6981
2017-03-31,154.0,2218.673,2526.0,-307.3270000000002,2.88,125.0647,102.85
2017-04-30,166.0,2151.221,1924.0,227.221,3.1,124.146,101.3202
2017-05-31,178.0,2225.33,1896.0,329.3299999999999,3.15,123.6594,102.6318
2017-06-30,184.0,2179.087,1910.0,269.087,2.98,122.0436,105.5857
2017-07-31,189.0,2275.547,2133.0,142.54700000000003,2.98,120.3736,103.7392
2017-08-31,183.0,2279.263,2105.0,174.26299999999992,2.9,119.0583,105.3367
2017-09-30,187.0,2250.285,1923.0,327.28499999999985,2.98,117.9287,104.0601
2017-10-31,180.0,2329.318,2032.0,297.3180000000002,2.88,120.0495,104.935
2017-11-30,173.0,2321.134,2347.0,-25.865999999999985,3.01,120.2745,104.7986
2017-12-31,182.0,2431.754,3068.0,-636.2460000000001,2.82,119.9565,105.3492
2018-01-31,187.0,2396.096,3317.0,-920.904,3.87,117.2182,105.245
2018-02-28,180.0,2203.186,2670.0,-466.81399999999985,2.67,117.575,105.4809
